Week,Week_Code,Market,Category,Net_Balance_1000JPY,Net_Balance_Billion_JPY
2025年1月1週,250101,TSE Prime,事業法人,326572501.0,326.572501
2025年1月1週,250101,Tokyo & Nagoya,自己計,-779995836.0,-779.995836
2025年1月1週,250101,Tokyo & Nagoya,法　人,-365521091.0,-365.521091
2025年1月1週,250101,Tokyo & Nagoya,個　人,727749714.0,727.749714
2025年1月1週,250101,Tokyo & Nagoya,海外投資家,343552189.0,343.552189
2025年1月1週,250101,Tokyo & Nagoya,証券会社,12736515.0,12.736515
2025年1月1週,250101,Tokyo & Nagoya,投資信託,-116178102.0,-116.178102
2025年1月1週,250101,Tokyo & Nagoya,事業法人,325674915.0,325.674915
2025年1月1週,250101,TSE Growth,自己計,-7440945.0,-7.440945
2025年1月1週,250101,TSE Growth,法　人,84297.0,0.084297
2025年1月1週,250101,TSE Growth,個　人,23051281.0,23.051281
2025年1月1週,250101,TSE Growth,海外投資家,-17757238.0,-17.757238
2025年1月1週,250101,TSE Growth,証券会社,261714.0,0.261714
2025年1月1週,250101,TSE Growth,投資信託,1167015.0,1.167015
2025年1月1週,250101,TSE Prime,投資信託,-118256010.0,-118.25601
2025年1月1週,250101,TSE Standard,自己計,-10086753.0,-10.086753
2025年1月1週,250101,TSE Prime,証券会社,11617517.0,11.617517
2025年1月1週,250101,TSE Prime,海外投資家,378615859.0,378.615859
2025年1月1週,250101,TSE Prime,個　人,678311071.0,678.311071
2025年1月1週,250101,TSE Prime,法　人,-364761253.0,-364.761253
2025年1月1週,250101,TSE Prime,自己計,-762443564.0,-762.443564
2025年1月1週,250101,TSE Growth,事業法人,223668.0,0.223668
2025年1月1週,250101,TSE Standard,投資信託,919878.0,0.919878
2025年1月1週,250101,TSE Standard,証券会社,846800.0,0.8468
2025年1月1週,250101,TSE Standard,海外投資家,-17306565.0,-17.306565
2025年1月1週,250101,TSE Standard,個　人,26333878.0,26.333878
2025年1月1週,250101,TSE Standard,法　人,-800658.0,-0.800658
2025年1月1週,250101,TSE Standard,事業法人,-1084245.0,-1.084245
2025年1月2週,250102,TSE Growth,海外投資家,-7871826.0,-7.871826
2025年1月2週,250102,TSE Growth,個　人,9301159.0,9.301159
2025年1月2週,250102,TSE Growth,法　人,-551016.0,-0.551016
2025年1月2週,250102,TSE Growth,自己計,-449533.0,-0.449533
2025年1月2週,250102,Tokyo & Nagoya,事業法人,205656884.0,205.656884
2025年1月2週,250102,Tokyo & Nagoya,海外投資家,-4618496.0,-4.618496
2025年1月2週,250102,Tokyo & Nagoya,証券会社,7601385.0,7.601385
2025年1月2週,250102,Tokyo & Nagoya,個　人,451331092.0,451.331092
2025年1月2週,250102,Tokyo & Nagoya,法　人,133363017.0,133.363017
2025年1月2週,250102,Tokyo & Nagoya,自己計,-614390287.0,-614.390287
2025年1月2週,250102,TSE Growth,証券会社,-220080.0,-0.22008
2025年1月2週,250102,Tokyo & Nagoya,投資信託,89809112.0,89.809112
2025年1月2週,250102,TSE Growth,投資信託,463657.0,0.463657
2025年1月2週,250102,TSE Growth,事業法人,822317.0,0.822317
2025年1月2週,250102,TSE Standard,自己計,-420144.0,-0.420144
2025年1月2週,250102,TSE Prime,投資信託,89102500.0,89.1025
2025年1月2週,250102,TSE Prime,証券会社,8506910.0,8.50691
2025年1月2週,250102,TSE Prime,海外投資家,8063521.0,8.063521
2025年1月2週,250102,TSE Prime,個　人,432394205.0,432.394205
2025年1月2週,250102,TSE Prime,法　人,138771450.0,138.77145
2025年1月2週,250102,TSE Prime,自己計,-613496797.0,-613.496797
2025年1月2週,250102,TSE Prime,事業法人,204296822.0,204.296822
2025年1月2週,250102,TSE Standard,投資信託,258505.0,0.258505
2025年1月2週,250102,TSE Standard,証券会社,-693223.0,-0.693223
2025年1月2週,250102,TSE Standard,海外投資家,-5005016.0,-5.005016
2025年1月2週,250102,TSE Standard,個　人,9642319.0,9.642319
2025年1月2週,250102,TSE Standard,法　人,-4684674.0,-4.684674
2025年1月2週,250102,TSE Standard,事業法人,699146.0,0.699146
2025年1月3週,250103,TSE Growth,海外投資家,50012.0,0.050012
2025年1月3週,250103,TSE Growth,個　人,-3221585.0,-3.221585
2025年1月3週,250103,TSE Growth,法　人,-748797.0,-0.748797
2025年1月3週,250103,TSE Growth,自己計,3083881.0,3.083881
2025年1月3週,250103,Tokyo & Nagoya,事業法人,198386183.0,198.386183
2025年1月3週,250103,Tokyo & Nagoya,海外投資家,391106701.0,391.106701
2025年1月3週,250103,Tokyo & Nagoya,証券会社,-1902217.0,-1.902217
2025年1月3週,250103,Tokyo & Nagoya,個　人,-458643678.0,-458.643678
2025年1月3週,250103,Tokyo & Nagoya,法　人,100912993.0,100.912993
2025年1月3週,250103,Tokyo & Nagoya,自己計,-94500759.0,-94.500759
2025年1月3週,250103,TSE Growth,証券会社,446426.0,0.446426
2025年1月3週,250103,Tokyo & Nagoya,投資信託,-31236160.0,-31.23616
2025年1月3週,250103,TSE Growth,投資信託,-100247.0,-0.100247
2025年1月3週,250103,TSE Growth,事業法人,4543950.0,4.54395
2025年1月3週,250103,TSE Standard,自己計,-349165.0,-0.349165
