"銘柄コード","銘柄名","直後基準日","直近制限措置","直近臨時措置","直近特別措置","申込日","市場区分","貸借区分","融資新規（株）","融資返済（株）","融資残高（株）","貸株新規（株）","貸株返済（株）","貸株残高（株）","差引残高（株）","貸借値段（円）","品貸料率（品貸日数分/円）","品貸日数","品貸料率（年率換算/％）","最高料率（品貸日数分/円）","最低料率（品貸日数分/円）","応札ランク","制限措置","臨時措置","特別措置","新株引受・権利入札"
"3923","（株）ラクス","20260331","","","","20260218","東証","貸借","","","","","","","","","","","","","","","","","",""
"3923","（株）ラクス","20260331","","","","20260217","東証","貸借","1500","1000","161600","2500","24900","78800","82800","820.20","","1","","1.80","0.00","","","","",""
"3923","（株）ラクス","20260331","","","","20260216","東証","貸借","6300","2000","161100","31900","400","101200","59900","833.60","-","1","-","1.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260213","東証","貸借","10300","6000","156800","7400","600","69700","87100","765.00","-","1","-","1.60","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260212","東証","貸借","17200","0","152500","8300","16000","62900","89600","820.00","-","1","-","1.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260210","東証","貸借","5400","14100","135300","13300","2200","70600","64700","856.20","-","3","-","5.40","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260209","東証","貸借","100","35700","144000","5100","0","59500","84500","800.90","-","1","-","1.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260206","東証","貸借","43000","16400","179600","6700","0","54400","125200","789.60","-","2","-","3.20","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260205","東証","貸借","400","29900","153000","4200","3000","47700","105300","798.50","-","1","-","1.60","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260204","東証","貸借","62500","200","182500","600","13500","46500","136000","740.60","-","3","-","4.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260203","東証","貸借","4100","700","120200","11700","2200","59400","60800","850.50","-","1","-","1.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260202","東証","貸借","4600","3300","116800","1200","200","49900","66900","872.10","-","1","-","1.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260130","東証","貸借","1100","6000","115500","3900","1500","48900","66600","880.60","-","1","-","1.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260129","東証","貸借","15300","1300","120400","6700","3100","46500","73900","885.00","-","1","-","1.80","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260128","東証","貸借","2100","7800","106400","3100","0","42900","63500","920.40","-","3","-","6.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260127","東証","貸借","500","1100","112100","1200","1300","39800","72300","936.80","-","1","-","2.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260126","東証","貸借","900","3300","112700","4500","0","39900","72800","929.00","-","1","-","2.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260123","東証","貸借","8600","2200","115100","900","0","35400","79700","943.40","-","1","-","2.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260122","東証","貸借","7600","2400","108700","0","3300","34500","74200","950.00","-","1","-","2.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260121","東証","貸借","2400","1900","103500","2500","15000","37800","65700","985.40","-","3","-","6.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260120","東証","貸借","12000","1000","103000","18700","3200","50300","52700","987.20","-","1","-","2.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260119","東証","貸借","5600","0","92000","3300","12100","34800","57200","968.00","-","1","-","2.00","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260116","東証","貸借","16500","0","86400","3800","2600","43600","42800","1007.50","-","1","-","2.20","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260115","東証","貸借","4200","200","69900","1900","0","42400","27500","1040.50","-","1","-","2.20","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260114","東証","貸借","2200","400","65900","3500","5300","40500","25400","1024.00","-","3","-","6.60","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260113","東証","貸借","1000","6900","64100","0","5600","42300","21800","1053.00","-","1","-","2.20","0.00","-","","","",""
"3923","（株）ラクス","20260331","","","","20260109","東証","貸借","7300","3400","70000","100","18300","47900","22100","1070.00","-","1","-","2.20","0.00","-","","","",""
